timestamp,prob_fft,pred_fft,prob_smoothed,pred_final_smoothed
2026-02-09 22:31:32.600,0.10963334888219833,0,0.1832977995276451,0
2026-02-09 22:31:32.706,0.2001015543937683,0,0.20594414447744688,0
2026-02-09 22:31:32.813,0.1585320383310318,0,0.21065129446131842,0
2026-02-09 22:31:32.920,0.2418753057718277,0,0.24620875995606184,0
2026-02-09 22:31:33.026,0.20634675025939941,0,0.25529219624069,0
2026-02-09 22:31:33.133,0.3191758692264557,0,0.24973973557353019,0
2026-02-09 22:31:33.240,0.23889419436454773,0,0.2582093089818954,0
2026-02-09 22:31:33.346,0.49511101841926575,0,0.25058683902025225,0
2026-02-09 22:31:33.453,0.32795968651771545,0,0.2588528677821159,0
2026-02-09 22:31:33.560,0.1997675895690918,0,0.2611765950918198,0
2026-02-09 22:31:33.666,0.19432908296585083,0,0.3062393099069595,0
2026-02-09 22:31:33.773,0.12387685477733612,0,0.3644657671451569,0
2026-02-09 22:31:33.880,0.24119232594966888,0,0.4361245661973953,0
2026-02-09 22:31:33.986,0.26511257886886597,0,0.48167808055877687,0
2026-02-09 22:31:34.093,0.6569738984107971,1,0.5464948564767838,1
2026-02-09 22:31:34.200,0.901440441608429,1,0.6255640774965286,1
2026-02-09 22:31:34.306,0.9554821848869324,1,0.7057596772909165,1
2026-02-09 22:31:34.413,0.950646162033081,1,0.793144379556179,1
2026-02-09 22:31:34.520,0.9761274456977844,1,0.8689640164375305,1
2026-02-09 22:31:34.626,0.9904597997665405,1,0.9423750579357147,1
2026-02-09 22:31:34.733,0.996285080909729,1,0.976621013879776,1
2026-02-09 22:31:34.840,0.9977238774299622,1,0.986366206407547,1
2026-02-09 22:31:34.946,0.9993886947631836,1,0.9897432386875152,1
2026-02-09 22:31:35.053,0.999222993850708,1,0.9854465365409851,1
2026-02-09 22:31:35.160,0.9994334578514099,1,0.9490074396133423,1
2026-02-09 22:31:35.266,0.9988923668861389,1,0.9030079483985901,1
2026-02-09 22:31:35.373,0.989252507686615,1,0.8275587365031243,1
2026-02-09 22:31:35.480,0.9076791405677795,1,0.7460792064666748,1
2026-02-09 22:31:35.586,0.6117364764213562,1,0.660632161796093,1
2026-02-09 22:31:35.693,0.5304648876190186,1,0.5714346155524254,1
2026-02-09 22:31:35.800,0.2417929619550705,0,0.47933100908994675,0
2026-02-09 22:31:35.906,0.18292857706546783,0,0.38734224662184713,0
2026-02-09 22:31:36.013,0.14491824805736542,0,0.2971501246094704,0
2026-02-09 22:31:36.120,0.10724753141403198,0,0.22550326883792876,0
2026-02-09 22:31:36.226,0.07839739322662354,0,0.17239571660757064,0
2026-02-09 22:31:36.333,0.07900474220514297,0,0.12096865121275187,0
2026-02-09 22:31:36.440,0.08733128756284714,0,0.09739305591210723,0
2026-02-09 22:31:36.546,0.1912105828523636,0,0.07927762997569517,0
2026-02-09 22:31:36.653,0.08066095411777496,0,0.06488228584639728,0
2026-02-09 22:31:36.760,0.016194233670830727,0,0.05423723687999882,0
2026-02-09 22:31:36.866,0.006037008948624134,0,0.04648028640658595,0
