timestamp,prob_trans,pred_trans,prob_smoothed,pred_final_smoothed
2026-02-09 22:31:32.600,0.637939989566803,1,0.7921146273612976,1
2026-02-09 22:31:32.706,0.6935600638389587,1,0.8258522947629293,1
2026-02-09 22:31:32.813,0.7600473761558533,1,0.8505517414637974,1
2026-02-09 22:31:32.920,0.8985060453414917,1,0.8691378384828568,1
2026-02-09 22:31:33.026,0.9705196619033813,1,0.8835929764641656,1
2026-02-09 22:31:33.133,0.9945406317710876,1,0.8951484203338623,1
2026-02-09 22:31:33.240,0.9987484216690063,1,0.9312376022338867,1
2026-02-09 22:31:33.346,0.999240517616272,1,0.9615850627422333,1
2026-02-09 22:31:33.453,0.9992340803146362,1,0.9844524085521698,1
2026-02-09 22:31:33.560,0.9991474151611328,1,0.9916843295097351,1
2026-02-09 22:31:33.666,0.9988318085670471,1,0.9877824127674103,1
2026-02-09 22:31:33.773,0.9970346689224243,1,0.9713279128074646,1
2026-02-09 22:31:33.880,0.9887208342552185,1,0.9338860511779785,1
2026-02-09 22:31:33.986,0.9708252549171448,1,0.8752118974924088,1
2026-02-09 22:31:34.093,0.9315004944801331,1,0.8034908384084701,1
2026-02-09 22:31:34.200,0.8299956321716309,1,0.7215303257107735,1
2026-02-09 22:31:34.306,0.6243298053741455,1,0.6324364155530929,1
2026-02-09 22:31:34.413,0.41249898076057434,0,0.5396945931017398,1
2026-02-09 22:31:34.520,0.28202348947525024,0,0.44522601179778576,0
2026-02-09 22:31:34.626,0.17954228818416595,0,0.3505878340452909,0
2026-02-09 22:31:34.733,0.107892706990242,0,0.25877406615763904,0
2026-02-09 22:31:34.840,0.06961644440889359,0,0.17652456434443592,0
2026-02-09 22:31:34.946,0.04403502121567726,0,0.11438858760520816,0
2026-02-09 22:31:35.053,0.024443477392196655,0,0.07330285798525438,0
2026-02-09 22:31:35.160,0.013362815603613853,0,0.04522144139045849,0
2026-02-09 22:31:35.266,0.0075006140395998955,0,0.027370526175945997,0
2026-02-09 22:31:35.373,0.0029700379818677902,0,0.016678642883198334,0
2026-02-09 22:31:35.480,0.0016416845610365272,0,0.009811859036562964,0
2026-02-09 22:31:35.586,0.0012093235272914171,0,0.005501232121605426,0
2026-02-09 22:31:35.693,0.0010331360390409827,0,0.00314909853041172,0
2026-02-09 22:31:35.800,0.0009738740627653897,0,0.0019053280411753803,0
2026-02-09 22:31:35.906,0.0009486059425398707,0,0.0012481835205107928,0
2026-02-09 22:31:36.013,0.0009287520661018789,0,0.0010440220998134465,0
2026-02-09 22:31:36.120,0.0009221414802595973,0,0.0009713111328892409,0
2026-02-09 22:31:36.226,0.0009251107112504542,0,0.0009375908935908228,0
2026-02-09 22:31:36.333,0.0009291688329540193,0,0.0009174278064165264,0
2026-02-09 22:31:36.440,0.0009284237748943269,0,0.0009006421198137105,0
2026-02-09 22:31:36.546,0.0009145748917944729,0,0.0008844476833473891,0
2026-02-09 22:31:36.653,0.0008721211343072355,0,0.0008686235989443958,0
2026-02-09 22:31:36.760,0.0008315051672980189,0,0.0008530641498509794,0
