Stride_Length_m,Gait_Speed_ms,Stride_Time_s,MTC_m
0.09281084889750434,0.08839128466428985,1.05,0.0006057899908367683
0.06900613297017671,0.06330837887172175,1.09,0.0012102147624538234
0.06514689229002513,0.059767791091766165,1.09,0.000295389062024351
0.05162052036534892,0.05011701006344555,1.03,0.000815214337586051
0.10012433706455182,0.09720809423742895,1.03,0.0006647500048246602
0.05620165091541829,0.05252490739758718,1.07,0.00034461228397136834
0.057142961003386415,0.054421867622272774,1.05,0.0005316801887480516
0.09876943270228966,0.09497060836758621,1.04,0.0001307372708819754
0.04346343941538106,0.04179176866863563,1.04,0.00043287147398662906
0.06899623435786989,0.06831310332462365,1.01,0.00019175940541399372
0.07639585967512186,0.07417073754866199,1.03,0.0001618033686329179
0.0677116321195789,0.06638395305841067,1.02,0.00031237565361308395
0.06667869011009156,0.0660185050594966,1.01,0.00021963851605455442
0.0616066759958663,0.060398701956731665,1.02,0.0001561012130796291
0.07887047228997772,0.07732399244115462,1.02,0.0002570531338345061
0.07829113886512384,0.07385956496709796,1.06,0.000244525430151854
0.0693228838549356,0.06478774192050055,1.07,0.0024448749970495953
0.08359331654106233,0.07961268242005937,1.05,0.0003851595092893012
0.07610495162184562,0.07112612301107067,1.07,0.00034168009485024964
0.07502404343682893,0.07283887712313489,1.03,0.0009909948555818504
0.07818961373074931,0.07376378653844275,1.06,0.0003718819691130859
0.07816237548342125,0.07738849057764481,1.01,0.0012854180488397482
0.06674525003706154,0.06543651964417797,1.02,0.00024236790032128308
0.07800427461925327,0.0772319550685676,1.01,0.0012553138751159043
0.07461117515460869,0.07461117515460869,1.0,0.0018255539980702729
0.07331491998666656,0.07331491998666656,1.0,0.0002678838672962591
0.07194904627296471,0.07123667947818288,1.01,0.0011944459788288952
0.0793137174955278,0.07700360921895903,1.03,0.0002533316011483766
0.07480920242436208,0.07263029361588551,1.03,0.0002816245092984726
0.08012493253466782,0.07855385542614492,1.02,0.00177623636903812
0.07835135458788427,0.0768150535175336,1.02,8.07349918905409e-05
0.07516207591350338,0.0722712268399071,1.04,0.0002436983805553794
0.06426871678606288,0.06558032325108458,0.98,0.0018004652044227853
0.08047994362136335,0.07813586759355665,1.03,0.000491645088579018
0.07373656464007995,0.0722907496471372,1.02,0.00021080565031406095
0.0646143140226267,0.0633473666888497,1.02,0.0006987808955118968
0.08120070347715698,0.07883563444384173,1.03,0.00020947619351252555
0.06558195057533749,0.06186976469371461,1.06,0.0022769321128093267
0.0796533593545995,0.07886471223227673,1.01,0.00033952880302567934
0.0701246308938264,0.0701246308938264,1.0,7.029198824315408e-05
