Stride_Length_m,Gait_Speed_ms,Stride_Time_s,MTC_m
0.5539351672343668,0.5275573021279684,1.05,0.002648137945715133
0.8827907866850965,0.8098998042982536,1.09,0.00992716512428743
1.148414015415336,1.0535908398305833,1.09,0.01122817786588437
1.135729263562079,1.1026497704486204,1.03,0.01166188983132943
1.152681162561937,1.1191079248174147,1.03,0.008722189047135842
1.0864114788397115,1.015337830691319,1.07,0.003567133726358751
0.8610579154694504,0.8200551575899527,1.05,0.04635634927651022
0.6732149674026863,0.6473220840410445,1.04,0.14418833683511023
0.4667152831019823,0.44876469529036755,1.04,0.20874094634017148
0.3888742260481307,0.38502398618626804,1.01,0.18521345736303307
0.3695251482381397,0.3587622798428541,1.03,0.1831666611913647
0.3714337561698045,0.3641507413429456,1.02,0.16705712265067518
0.39852801151866674,0.3945821896224423,1.01,0.1380362999806496
0.5270024840003256,0.5166691019611035,1.02,0.08803330567720319
0.7146814965371139,0.7006681338599156,1.02,0.026409227379617706
0.8381032600106224,0.7906634528402098,1.06,0.005493178099842011
0.8133835669186457,0.7601715578678931,1.07,0.0014316274917128002
0.7971681060685822,0.7592077200653163,1.05,0.001261703948374937
0.7988565641005996,0.7465949197201864,1.07,0.0014765399651214262
0.7615232449340213,0.7393429562466226,1.03,0.0011304154030690183
0.7244533254628018,0.6834465334554733,1.06,0.000618330618543439
0.6225688619394446,0.6164048138014303,1.01,0.0010365680401372979
0.558011240192233,0.5470698433257186,1.02,0.0039035068529480466
0.5255881336777567,0.5203842907700561,1.01,0.020191023305393685
0.5370786023820749,0.5370786023820749,1.0,0.037877640621195696
0.5689327805766432,0.5689327805766432,1.0,0.026932925116783024
0.5876438661517543,0.5818256100512419,1.01,0.05509268232656184
0.6635872842081942,0.6442594992312565,1.03,0.048969650586224434
0.7549292988766299,0.7329410668705144,1.03,0.026802717263735787
0.7443445873945924,0.7297495954848945,1.02,0.027180012166274636
0.7386087825081394,0.724126257360921,1.02,0.012143982018685051
0.6449272980263245,0.620122401948389,1.04,0.01744259741004392
0.5697046563671754,0.5813312820073219,0.98,0.034453094019012837
0.6469581348475727,0.6281146940267696,1.03,0.020616345679739745
0.6562430266118698,0.6433755162861469,1.02,0.019567136876840058
0.6531705176069892,0.6403632525558718,1.02,0.02541825256437054
0.6962875553044182,0.676007335247008,1.03,0.034786224524106645
0.7874310670794756,0.7428594972447883,1.06,0.053019884438778586
0.7839306988478356,0.7761690087602333,1.01,0.03329394301248419
0.692496316815267,0.692496316815267,1.0,0.017895764164802777
0.6260605585472334,0.6137848613208171,1.02,0.004254124714155927
0.5989945361168421,0.6112189144049409,0.98,0.00298614885037618
0.5412965509388343,0.5948313746580597,0.91,0.0005164958925815422
0.544984369014865,0.544984369014865,1.0,0.010378091481486301
0.5118648615341123,0.5170352136708205,0.99,0.013630594987984287
0.5004152761496891,0.5054699759087768,0.99,0.02105621825668133
