t_right_s,t_left_s,gait_speed_right,gait_speed_left,stride_length_right,stride_length_left,mtc_right,mtc_left,segmento_right,segmento_left,Asimetria_Velocidad_pct,Asimetria_Zancada_pct,Asimetria_MTC_pct,Gait_Speed_ms
0.28,0.38,1.5256834707857492,0.10447720831734142,0.869639578347877,0.03761179499424291,0.017674616721884195,0.0035712373437598276,0,0,174.36394837475174,183.417255195464,132.7635908121056,0.8150803395515454
0.85,0.74,0.18819737278625165,0.1404656821113865,0.1016265813045759,0.051972302381213004,0.012893009235866825,0.01181140594911086,0,0,29.04597274538883,64.65447890225384,8.756356130329841,0.16433152744881907
1.39,1.46,0.40396758455475074,0.5683494062230104,0.21814249565956542,0.215972774364744,-0.031822422167452846,-0.008088572311205423,0,0,-33.81239312433898,0.999606069926972,118.93389361138918,0.48615849538888056
1.93,1.84,1.0697568606320524,0.03964809213639534,0.6418541163792314,0.013083870405010464,-0.029661729325188305,-0.0003326327958597733,0,0,185.7047358451191,192.00909358197254,195.56406241256448,0.5547024763842239
2.53,2.61,0.45540420714828195,0.20173497923474026,0.2140399773596925,0.0766592921092013,0.004526596366877933,0.0019882009487346705,0,0,77.20410931807899,94.51739283795591,77.92707263693501,0.32856959319151113
3.0,2.99,0.6171834291090554,0.27916528926217393,0.3703100574654333,0.08654123967127392,-0.01025851157133717,0.0005667830622757448,0,0,75.4211241493378,124.22808890887093,223.39244487692045,0.44817435918561466
3.6,3.66,0.3998503860508356,0.2949419711927399,0.25990275093304316,0.10912852934131376,-4.36046678698801e-05,-0.00752914924900955,0,0,30.19849420171951,81.71351842024667,-197.69676034116534,0.34739617862178773
4.25,4.42,0.991348755539306,0.3834358846083962,0.5551553031020114,0.1418712773051066,0.003226135207544467,-0.00677993538718993,0,0,88.43754187791882,118.58486818551873,-563.1194827466428,0.6873923200738511
4.81,4.79,0.1759552875802181,0.5774208152193911,0.09149674954171343,0.21364570163117472,0.015263048715102683,0.001535318806511934,0,0,-106.57771759610989,-80.06028110474469,163.44123785751384,0.37668805139980466
5.33,5.16,1.1640109375084264,0.06761203950261654,0.6751263437548873,0.023664213825915787,-0.02556557839090575,0.003436587158573246,0,0,178.04131921387162,186.45418798568733,262.1191833372336,0.6158114885055215
5.91,5.89,0.7884681956625533,0.3537793490549669,0.48885028131078306,0.12028497867868874,-0.13653360643231743,0.0022716016641177866,0,0,76.11114571755736,121.0126311317012,206.76766794310763,0.5711237723587601
6.53,6.56,0.4952970300550696,0.11590858735731131,0.28231930713138964,0.03709074795433962,0.008815889658345462,9.90062888767719e-05,0,0,124.14429183551977,153.55093258490623,195.5577142139221,0.30560280870619044
7.1,7.22,0.931329308313299,0.34354495757102965,0.5494842919048464,0.11336983599843979,0.0180922631146037,-0.0007287664524226675,0,0,92.21056012681332,131.58685676014616,216.7884721977682,0.6374371329421643
7.69,7.55,0.39591433552322525,0.14554481938817979,0.21379374118254166,0.04511889401033573,-0.013782438825939842,0.00152761350912301,0,0,92.47955782593112,130.2947977386668,249.86161677969326,0.27072957745570253
22.95,23.09,0.6416159204332044,0.13332862431024678,0.5004604179378994,0.09466332326027521,0.01413434653778202,0.010231777277783377,1,2,131.18030175726406,136.3740232781252,32.0327458691286,0.38747227237172555
23.73,23.8,0.17457545146923853,0.10471615762985705,0.13791460666069844,0.11099912708764847,-0.001989930118304753,0.004849004142914712,1,2,50.02605990543359,21.62635156183198,-478.4020422243141,0.13964580454954778
25.27,25.33,0.3123689121149382,0.03933167109922848,0.2686372644188469,0.0180925687056451,0.02092327005119657,5.536629891912751e-05,1,2,155.26686849389998,174.7601168549634,198.9443298793094,0.17585029160708335
26.13,26.12,0.3796747459354974,0.06797232667814003,0.284756059451623,0.026509207404474613,-0.010579501603030707,-0.0008888654793354259,1,2,139.26257461595716,165.93361325248,168.99766207511254,0.2238235363068187
26.88,27.02,0.2300379422667641,0.15004985582028796,0.16102655958673487,0.07502492791014398,0.0028537584234563963,-0.000879019209347888,1,2,42.08926824225826,72.86684154254951,378.05271765866445,0.19004389904352603
27.58,27.52,0.9641459181557831,0.08473819594745391,0.7134679794352795,0.029658368581608866,0.007945516766894055,5.548719116605356e-06,1,2,167.68443918329245,184.03589448240913,199.7208565756945,0.5244420570516185
28.32,28.5,0.18083892296337847,0.15317187995437986,0.13743758145216764,0.08883969037354032,0.0003649964420985133,-0.010597446973686073,1,2,16.566555792395086,42.95428408387411,-214.2681927841926,0.16700540145887915
29.08,29.08,0.6550082704808137,0.46657967716484344,0.5567570299086916,0.23328983858242172,0.0045037957393058905,-0.007411630474079434,1,2,33.60032420310929,81.88557014194616,-819.5394374304614,0.5607939738228286
29.93,29.94,0.41026429603834985,0.09398614327244056,0.4471880826818014,0.031955288712629794,0.0198490889649173,-0.0008747988251005554,1,2,125.44486949706909,173.32298379115073,218.44177186401993,0.2521252196553952
31.02,31.07,0.4689889601955097,0.12816878178452182,0.41271028497204854,0.07177451779933222,-0.007895615292775656,-0.004642550589197036,1,2,114.14745366305061,140.7415734084842,51.89059921843686,0.29857887099001573
31.9,32.08,0.43853914473257216,0.3139368527216453,0.3771436644700121,0.15696842636082264,0.007988083601729444,-0.0067673439913392905,1,2,33.11794460753095,82.44533006796277,2417.4570018831187,0.3762379987271087
32.76,32.58,0.3731837103475739,0.5119594255906379,0.3395971764162923,0.49660064282291877,0.02480266063911089,-0.001578922581967543,1,2,-31.356672069985148,-37.551752179758445,227.19497745078786,0.4425715679691059
33.67,33.55,0.4441245764351031,0.26110858554009925,0.37750588996983764,0.11488777763764367,-0.0001992241937597201,0.0015943192768765311,1,2,51.90226460208322,106.66997957477541,-257.1213234626644,0.3526165809876012
35.41,35.36,0.30419086536366347,0.2877085531771253,0.27377177882729714,0.08631256595313759,0.004200425991709483,0.0002284157513302255,1,2,5.569294941080382,104.11961285818457,179.3701590995705,0.2959497092703944
36.31,36.38,0.30038471824512936,0.10343115469990734,0.25232316332590865,0.05171557734995367,-0.010776604468899206,-0.004761693951735409,1,2,97.54622180095895,131.96185823557533,77.42045305522116,0.20190793647251834
37.15,37.33,0.04550340212652825,0.40173943742580703,0.03685775572248789,0.15667838059606476,0.0029957591733991845,0.006234316303655393,1,2,-159.30318108875744,-123.82248313189115,-70.17401186603664,0.22362141977616765
44.54,44.42,0.509100327721135,0.12507058347130906,0.4021892588996967,0.04502541004967126,-0.004536233128638718,0.001948907521091882,1,3,121.11238073904312,159.72814563042084,501.3006968132986,0.31708545559622203
45.33,45.24,0.25555812794594807,0.03263283354983188,0.15333487676756882,0.01337946175543107,0.0019486447841403597,0.002517095202752151,1,3,154.7066523107322,167.89847382302935,-25.458285537459073,0.14409548074788997
45.93,46.1,0.41918203956045813,0.05708545934072685,0.21797466057143824,0.02283418373629074,0.0017040716546767101,-0.00035531930542270746,1,3,152.05596899017388,162.07085532604276,305.3771822882785,0.23813374945059249
46.45,46.5,0.13361025818314334,0.03800111885749139,0.08818277040087462,0.013680402788696899,0.0032348675783169184,0.00011831381952547536,1,3,111.4251758530127,146.27929855184422,185.8863800685994,0.08580568852031736
47.78,47.61,0.3601718682650464,0.05274896930611595,0.24491687042023155,0.018462139257140582,0.009145619798920541,0.0013847364008618556,1,3,148.90161550926794,171.9611076376118,147.400206618254,0.20646041878558116
48.46,48.37,0.24630246632090674,0.10195479274169714,0.17487475108784378,0.03466462953217703,0.011819660299609739,0.0012452914995449366,1,3,82.8971513574459,133.82698864603796,161.87382797308115,0.17412862953130193
49.17,49.06,0.3095478365438303,0.16434016046473798,0.2259699206769961,0.05916245776730567,0.006353442135232581,0.0001618276429714697,1,3,61.28354252300964,117.00352223749634,190.06471575357682,0.23694399850428413
50.65,50.5,0.11464828467577719,0.049683716327137264,0.08713269635359067,0.015898789224683924,0.00645484870773722,0.00011924963650121142,1,3,79.06502440445274,138.27599734022908,192.7442742559078,0.08216600050145723
51.41,51.5,0.7954436552651343,0.05504265039354109,0.5249928124749886,0.01926492763773938,0.007481020864846678,0.0001898465096116216,1,3,174.11238721784605,185.84132022908915,190.10038889506794,0.42524315282933767
52.69,52.7,0.2185432874088189,0.14181317298949822,0.1398677039416441,0.06097966438548423,0.0028169146922258637,0.0014239773600042659,1,3,42.58567438169842,78.55521355666626,65.69077048254992,0.18017823019915857
53.33,53.49,0.09488147473575481,0.20350466661193733,0.07780280928331894,0.07529672664641682,0.010110918970900926,0.001443730989598511,1,3,-72.80712930270457,3.2737952100028247,150.0207797022314,0.14919307067384607
54.15,54.2,0.2211433188560552,0.07144904568500024,0.15258889001067807,0.025007165989750082,0.00925174119497283,0.0012219336441548576,1,3,102.32274748922947,143.67630328527162,153.33314570393412,0.1462961822705277
54.84,54.93,0.47192220061827805,0.08600912361580915,0.39641464851935354,0.02838301079321702,-0.005043913681112407,0.0009281597013017988,1,3,138.33712510486475,173.27385387278463,290.20555707214646,0.2789656621170436
55.68,55.62,0.30217212923378084,0.10890007147298957,0.2447594246793625,0.04247102787446593,0.010520978751979972,0.0014417208706958007,1,3,94.03314426443434,140.85442195025385,151.7927920563027,0.2055361003533852
56.49,56.35,0.37114392746833164,0.07015804937700607,0.26722362777719877,0.027361639257032364,0.010537197111847056,-0.0013942573172586502,1,3,136.40812590187494,162.84724007755227,260.9982062042625,0.22065098842266884
57.21,57.13,0.5278912564944247,0.16329344523688313,0.3272925790265433,0.053886836928171436,0.008833386169259827,0.0016036342602764302,1,3,105.49938687713485,143.45252164972797,138.54053381985443,0.34559235086565393
68.2,68.3,0.18646642264866906,0.12086744106464636,0.09696253977730791,0.04230360437262622,-0.004311846417016361,-4.57469709384588e-05,2,3,42.689068358060396,78.49565411365997,195.80071228628975,0.1536669318566577
68.72,68.65,0.33999299237073893,0.03614785799395505,0.21079565526985813,0.018073928996977524,0.0005746094603226205,0.0014097790591606468,2,3,161.5592319112298,168.41182885025842,-84.17400026638971,0.18807042518234698
69.34,69.15,0.2874286758722013,0.08835385709526286,0.16670863200587674,0.03622508140905777,0.0010443110925776504,0.0010041754996225755,2,3,105.9521405664561,128.5972137414367,3.9185604736583977,0.18789126648373206
69.92,70.01,0.12255840679961273,0.08811901232184464,0.0857908847597289,0.04494069628414077,0.0005291455133160355,0.0019187449844764413,2,3,32.693958964736964,62.494751688010275,-113.53444710158037,0.10533870956072869
70.62,70.52,0.28680213089926215,0.13227195395367872,0.18068534246653517,0.04364974480471398,0.0008113202115436313,0.0005021604362453217,2,3,73.74838126762732,122.17045432231296,47.07488851377194,0.20953704242647042
71.25,71.25,0.1821930374725545,0.11340050783171966,0.12206933510661153,0.04422619805437067,-0.00607364684908584,0.0010744730965410656,2,3,46.54535305906094,93.62023810571615,285.97205456154563,0.1477967726521371
71.92,72.02,0.35149668441536175,0.32517495176654104,0.1827782758959881,0.13332173022428181,-0.004329386716654952,0.0041511600230917205,2,3,7.7797653223179895,31.29170813928364,9516.584267146207,0.33833581809095137
83.36,83.18,0.4219874931127816,0.24507788990164683,0.2405328710742855,0.28919191008394324,-0.011494635124140945,-0.009958748838706575,2,4,53.04115839790423,-18.37144145050797,14.318359174423797,0.3335326915072142
84.48,84.36,0.10729098321369732,0.17610317637869596,0.05364549160684866,0.06515817526011751,-0.0005425256258109971,-0.003372415800258651,2,4,-48.56288729730453,-19.38102409946742,-144.56871081663581,0.14169707979619664
84.98,85.08,0.07953355563335646,0.15683443982842413,0.04294812004201249,0.051755365143379965,-0.008144813506750693,0.00010225639436302683,2,4,-65.40723421040883,-18.599621933926354,205.08576528256293,0.11818399773089029
85.52,85.41,0.07981412161182974,0.10809200792190085,0.04549404931874295,0.03999404293110331,0.00018366447732827938,-0.0030443743074106758,2,4,-30.097885981941864,12.867304072163403,-225.68096566759996,0.0939530647668653
86.09,86.18,0.26315050626467273,0.03812813416760704,0.14473277844557,0.013344846958662464,0.0011066531818861997,-0.0025032163559127194,2,4,149.37824452088586,166.23216745687483,-516.964732413941,0.15063932021613988
86.64,86.53,0.25378610083503944,0.09542627747203547,0.1421202164676221,0.03435345988993277,0.0017403628208541508,0.0010675479299111718,2,4,90.69542387397993,122.1335201963404,47.92281170329912,0.17460618915353746
87.2,87.29,0.44835401732996116,0.07425097794473526,0.29143011126447477,0.02895788139844675,0.0023486433094711116,0.0008397267490928052,2,4,143.16856622795444,163.84648356168182,94.65128154276684,0.2613024976373482
87.85,87.68,0.1988457857475386,0.05003552131404819,0.09544597715881853,0.020514563738759758,0.0013267634519328756,-0.004374759550265466,2,4,119.58331960758039,129.23605364387123,-374.1161614555455,0.1244406535307934
88.33,88.5,0.13217477769845917,0.14531175899868237,0.07533962328812173,0.05812470359947296,0.0012384669654705554,-0.001534020736881147,2,4,-9.46855401100873,25.797035193003133,-1876.1308232471076,0.13874326834857076
88.9,88.9,0.17681565069170252,0.181914425535881,0.10962570342885557,0.06367004893755834,0.00015375787321640893,-0.00011004323119237491,2,4,-2.8426804341567062,53.0372543628528,1206.9233199427679,0.17936503811379176
89.52,89.62,0.1225709860092352,0.0373696068397605,0.06373691272480231,0.013826754530711383,7.79906901156209e-05,-0.0008497707247541292,2,4,106.54128217458299,128.69468389026696,-240.42120117924568,0.07997029642449785
90.04,89.99,0.04305291571101095,0.11824510373722147,0.022387516169725695,0.04729804149488859,-0.0013524103436990372,0.0015983856073742528,2,4,-93.23386397852578,-71.49408330791685,-2399.262354258113,0.0806490097241162
90.56,90.39,0.16495500541722066,0.09564251559224614,0.08412705276278254,0.03538773076913107,-0.00024373510393943532,0.0010634466497122042,2,4,53.195049251797435,81.5619968564588,-318.9370115360072,0.1302987605047334
91.07,91.16,0.37592802444381684,0.0504679046463953,0.2142789739329756,0.019682482812094167,0.002170291994809722,0.0006058155068592356,2,4,152.6562978646845,166.34918745006672,112.7100796356009,0.21319796454510606
91.64,91.55,0.2024912397440174,0.09302730002347342,0.12149474384641043,0.034420101008685165,-0.0020609899941059096,-0.00013307810870633063,2,4,74.08262087831675,111.69512809206952,175.73856371445206,0.1477592698837454
92.24,92.31,0.1800701365118874,0.11522085213035388,0.0972378737164192,0.08641563909776541,-0.010748209297581114,-0.00024594241838967476,2,4,43.9222914859088,11.785491551804318,191.051881955298,0.14764549432112065
93.93,93.82,0.14621111412197602,0.09442556033671265,0.08772666847318561,0.0321046905144823,-0.009836662036248325,0.0008099819935588354,2,4,43.040450007676334,92.83375975804043,235.89279733980698,0.12031833722934433
94.53,94.54,0.051054037201470163,0.031245769398352014,0.02910080120483799,0.012185850065357285,0.00013225157221140663,0.0020490354839272683,2,4,48.13685140096295,81.93908015829591,-175.74797469425798,0.04114990329991109
95.1,94.93,0.05849761540236993,0.016967105098620136,0.03451359308739826,0.0062778288864894505,-0.0011797325231464734,-1.5025740102563977e-05,2,4,110.06602827928033,138.439715188079,194.969445932367,0.037732360250495034
95.69,95.64,0.18631953233356618,0.10292916507051787,0.10620213343013271,0.042200957678912326,-0.007506137853374277,-0.00043427176406599186,2,4,57.65997773642585,86.2531572259408,178.12345785727933,0.14462434870204202
96.26,96.43,0.15899181373501683,0.09849292505222705,0.08903541569160944,0.03250266526723493,0.0011836720639683378,9.079590942399072e-05,2,4,46.99221318338342,93.02886795376969,171.50311774965553,0.12874236939362194
96.82,96.76,0.38010513796113665,0.1172698703566696,0.22046098001745926,0.04338985203196775,0.0001779621745692586,3.677650516855854e-05,2,4,105.68897238862634,134.22063262800012,131.4953315099815,0.24868750415890312
97.95,97.95,0.34632628967955104,0.10872815323277848,0.18701619642695758,0.04131669822845582,0.0023421600283061728,0.0005374308769597186,2,4,104.42624619865454,127.62024360824827,125.34621831498053,0.22752722145616477
98.49,98.33,0.4214482783450631,0.08004665218647335,0.24444000144013658,0.031218194352724604,0.0013299352942623272,-0.00042899615823798067,2,4,136.15357020528077,154.70013976847906,390.46621068368717,0.25074746526576824
99.07,99.05,0.12236454202466393,0.16627227194228553,0.07097143437430507,0.07149707693518277,0.0011376734261200729,4.317653294947517e-06,2,4,-30.424206333326058,-0.7379070028124769,198.4876752987741,0.14431840698347473
99.65,99.48,0.18801119636776692,0.25129590258881707,0.10904649389330481,0.09297948395786232,0.002150564135833058,0.000502682154449147,2,4,-28.81114663130198,15.905885081055356,124.21628458838917,0.219653549478292
100.23,100.19,0.35188869947186313,0.1909479543397262,0.2040954456936806,0.0859265794528768,0.0020557305359919066,-0.0004307584125824867,2,4,59.296196747980524,81.4895807869001,306.034659026321,0.27141832690579465
100.81,100.64,0.2808787087964709,0.09306054518877165,0.17133601236584725,0.038154823527396374,0.0016197182500970707,0.0014702403205107233,2,4,100.45383660903997,127.14750816720203,9.675076618062562,0.1869696269926213
101.42,101.36,0.0695023272741902,0.1297637189109485,0.04170139636451412,0.1479306395584813,-0.0026002736412663223,-0.00022407413473260333,2,4,-60.483351569859785,-112.0372332416492,168.26536212901726,0.09963302309256936
102.62,102.5,0.28344207582386666,0.13331091900935227,0.18140292852727466,0.051991258413647386,-0.008749599731767149,3.301142206082238e-05,2,4,72.04802781301937,110.89536702675859,201.51487811000834,0.20837649741660946
