Modelo,Brier,Intercepto,Pendiente,AUC
Transformer,6.283251423155889e-05,-0.49029783089080925,2.2873927986414215,1.0
FFT,0.000946941610891372,-4.108322265663431,1.8091013522640904,1.0
Hibrido,1.5695613211907933e-11,0.046344905948367,0.9989254975685808,1.0
