t_right_s,t_left_s,gait_speed_right,gait_speed_left,stride_length_right,stride_length_left,mtc_right,mtc_left,segmento_right,segmento_left,Asimetria_Velocidad_pct,Asimetria_Zancada_pct,Asimetria_MTC_pct,Gait_Speed_ms
2.8,2.6,0.4349523882107641,0.1944542175824359,0.230524765751705,0.11083890402198844,0.00041256908322951855,-0.004546133279926352,0,0,76.42060582609999,70.12220240605107,-239.92381040644838,0.3147033028966
3.33,3.17,0.6618863930457709,0.6520358864028103,0.4169884276188357,0.3586197375215457,0.01053628411065645,-0.03027834098074793,0,0,1.4994047664820191,15.051076747425821,-413.478953687314,0.6569611397242906
4.39,4.22,0.5524801820672379,1.2437635698455476,0.3977857310884113,0.708945234811962,0.00974907223241902,0.019598977533588996,0,0,-76.9698864134865,-56.230378169713376,-67.12476896899975,0.8981218759563927
6.22,6.4,0.22252519061415224,0.6845764473962639,0.10681209149479307,0.3354424592241693,0.007190809352062382,0.0103898176001291,0,0,-101.87419742633207,-103.39311030613365,-36.39242510254109,0.45355081900520805
6.7,6.89,0.493912796461851,0.08993208822381708,0.24201727026630698,0.04496604411190854,0.0076533424609121475,0.00532624968593623,0,0,138.38631418532682,137.3259114951223,35.857718002964646,0.29192244234283404
7.19,7.39,0.14414280040674943,0.7614063695954602,0.08216139623184716,0.4340016306694123,0.015091004864290481,-0.017924117782308964,0,0,-136.32911157926512,-136.32911157926512,-2330.6605562118343,0.4527745850011048
8.31,8.47,0.24051578924625128,0.6197483622901893,0.12506821040805066,0.30367669752219273,-0.015486527351595326,0.004418433039117313,0,0,-88.16654102501535,-83.31690187359688,359.68179939110325,0.43013207576822027
8.83,8.96,0.30849512144579866,0.30900008526007716,0.15424756072289933,0.15450004263003858,-0.017017518602537834,0.00724415942003267,0,0,-0.16355230252630165,-0.16355230252630165,496.48595880933556,0.30874760335293794
9.33,9.46,0.3383364849616949,0.6066803696666517,0.1725516073304644,0.30334018483332587,-0.00014951521829810813,-0.011027508826802486,0,0,-56.79134364444544,-54.96567902891977,-194.64919400030644,0.4725084273141733
9.84,9.96,0.6138108393973908,0.5757648903495054,0.31304352809266933,0.28212479627125764,0.0013048832324132655,-0.019810202878800316,0,0,6.39655771322442,10.389911746212437,-228.20558104043403,0.5947878648734481
10.35,10.45,0.4822922757616641,0.6528015019412854,0.24114613788083206,0.3264007509706427,0.009430520329365649,-0.02683969393708755,0,0,-30.043196347120322,-30.043196347120322,-416.6793333643984,0.5675468888514748
10.85,10.95,0.13604484951878532,0.3483286600415012,0.06530152776901695,0.17068104342033558,-0.0015349646673013233,0.0059691288362160085,0,0,-87.65293986263897,-89.31126999778476,-338.4671030506319,0.24218675478014326
11.33,11.44,0.921963400420455,0.37237298491954657,0.47020133421443205,0.18618649245977328,-0.00010071903638569912,-0.0029451323813679334,0,0,84.92234657477232,86.53872915154717,-186.77295474117628,0.6471681926700008
11.84,11.94,0.22961777492200539,0.7321748730606505,0.11251270971178264,0.3734091852609318,-0.015787884978669453,-0.0188206109558129,0,0,-104.50425030649804,-107.38206211671078,-17.525904522893605,0.480896323991328
12.33,12.45,0.18076638839941073,0.1983550497346264,0.09038319419970536,0.0932268733752744,-0.006471728675508444,-0.006387352913878833,0,0,-9.278642443320367,-3.097519883442967,1.3123139633742944,0.18956071906701855
12.83,12.92,0.535910530030122,0.573077255551324,0.2625961597147598,0.2808078552201488,0.0033215599940875904,0.005149083068956905,0,0,-6.702819635063049,-6.702819635063042,-43.14957108374417,0.554493892790723
13.32,13.41,0.40498532768797263,0.27747925703423654,0.20654251712086605,0.1359648359467759,0.00878371271199467,0.004788932139086904,0,0,37.36635526827703,41.21235970087434,58.865175015456636,0.3412322923611046
13.83,13.9,0.20537756314831607,0.6082883861984706,0.10063500594267487,0.31022707696122,0.0036447317843602937,-0.010363852306815153,0,0,-99.03593074617723,-102.02551159609975,-416.97671724624314,0.4068329746733933
14.32,14.41,0.5093800407176298,0.5496661404873313,0.25978382076599116,0.263839747433919,-0.008255884913954013,-0.013851728750794406,0,0,-7.607996796488107,-1.5491765131470883,-50.62368034559259,0.5295230906024806
14.83,14.89,0.6556323884086789,0.4521625816593314,0.3147035464361658,0.22155966501307237,-0.016625342071002257,0.0004248604438993192,0,0,36.73419942263432,34.73812092064806,210.49006946036812,0.5538974850340052
15.31,15.38,0.11253460358511902,0.7326538585889854,0.054016609720857124,0.37365346788038256,-0.011221771626122456,0.00978262182338353,0,0,-146.7410601911707,-149.47824264551673,2919.000288855455,0.4225942310870522
15.79,15.89,0.4502031604208468,0.26643892078565085,0.2251015802104234,0.13321946039282542,0.003062113350990419,-6.271266153499641e-05,0,0,51.28480295932971,51.28480295932971,208.36335895440268,0.3583210406032488
